student_id,race_ethn,gender,days_present,days_absent,home_address
00026662289c,asian,male,177,1,2759 W LAKE ST CHICAGO IL 60612
000bdfcbd8f2,hispanic,male,176,2,2400 S HOMAN AVE CHICAGO IL 60623
000e2e7c9705,white,female,175,3,3750 W CHICAGO AVE CHICAGO IL 60651
00109619b0d2,asian,female,177,1,3900-3906 S WESTERN AVE CHICAGO IL 60609
001185d3c76d,white,male,171,7,2253 W DEVON AVE CHICAGO IL 60659
001605791291,hispanic,male,177,1,1212 S MICHIGAN AVE CHICAGO IL 60605
003c654aac57,white,female,177,1,7740 S INGLESIDE CHICAGO IL 60619
003d4f289182,white,male,176,2,2020 N LINCOLN PARK WEST CHICAGO IL 60614
00482e8e5a1f,hispanic,male,176,2,4900 W WALTON ST CHICAGO IL 60651
005698efcfb3,white,female,175,3,7400 W FOSTER AVE IL 60656
0064342625c4,black,male,177,1,6520 S Wood CHICAGO IL 60636
006d05081585,white,female,177,1,133 W 111TH ST CHICAGO IL 60628
0071b2a0c507,white,female,173,5,2604 W LAWRENCE AVE CHICAGO IL 60625
0076fca4a0de,white,female,177,1,5150 N CLARK ST CHICAGO IL 60640
007eab7cf10c,white,female,174,4,100 N RIVERSIDE PLZ CHICAGO IL 60606
008b54a9c256,black,male,176,2,23 E ADAMS ST CHICAGO IL 60603
008e5a333a93,white,female,177,1,5600 S PULASKI RD CHICAGO IL 60629
009bfdabe910,hispanic,male,175,3,220 W WASHINGTON ST CHICAGO IL 60606
009cc7efcd4e,white,male,176,2,209 S LOTUS AVE CHICAGO IL 60644
00a6316cb6ca,hispanic,male,177,1,4400 N SIMONDS DR CHICAGO IL 60640
00a6f87d070f,white,female,177,1,1942 - 1944 W MONTROSE AVE IL 60613
00ab9c8f49b4,white,female,177,1,4801 N MILWAUKEE AVE CHICAGO IL 60630
00ae023f1edd,white,male,173,5,5868 N LINCOLN AVE CHICAGO IL 60659
00b1b249029b,asian,male,174,4,1500 W ELMDALE AVE IL 60660
00b5e5ed2ae3,white,male,176,2,6323 N NEWCASTLE ST CHICAGO IL 60631
00c5e4bd95c9,white,female,176,2,1501-1503 W MORSE AVE IL 60626
00d733a71268,asian,male,176,2,217 N JEFFERSON ST CHICAGO IL 60661
00dadd76529d,black,female,176,2,10659 S WENTWORTH AVE CHICAGO IL 60628
00e7cdcc146c,white,male,177,1,1938 W IRVING PARK RD CHICAGO IL 60613
00e87954467e,white,female,178,0,2902 W MADISON ST CHICAGO IL 60612
00ef6b3ce926,hispanic,male,175,3,844 W ARMITAGE AVE CHICAGO IL 60614
00f0cdfcb50c,black,female,176,2,4420 S Fairfield AVE CHICAGO IL 60632
00f8f270abd6,white,female,175,3,1901 N HALSTED ST CHICAGO IL 60614-8460
00fb99bc7737,white,female,177,1,7025 S Princeton (300W) CHICAGO 60621
010006aff300,hispanic,male,177,1,2312 N ASHLAND AVE CHICAGO IL 60614
01054b0a17fa,black,female,176,2,3714 W LAWRENCE AVE CHICAGO IL 60625
0108bafbc6a2,white,male,177,1,7210 N CALIFORNIA AVE CHICAGO IL 60645
010b4bc82a71,white,male,174,4,502 E 47TH ST CHICAGO IL 60653
010ec1c11131,white,male,177,1,300 S CICERO AVE CHICAGO IL 60644
0116740bc694,white,male,177,1,9353 S WESTERN AVE IL 60620
0116ec84c1ec,black,female,175,3,3116 W Belden CHICAGO IL 60647
0120cc295729,white,male,175,3,5854-5856 N LINCOLN AVE CHICAGO IL 60659
01259df404a9,black,male,177,1,1416 W IRVING PARK RD CHICAGO IL 60613
0130949893b1,white,female,177,1,3601 W 26TH ST CHICAGO IL 60623
0135d434d2ab,white,female,177,1,1812 W 47TH ST CHICAGO IL 60609
013cda9870ba,white,male,177,1,200 E 43RD ST CHICAGO IL 60653
013d1616d3b9,white,female,178,0,2341 N NARRAGANSETT AVE CHICAGO IL 60639
014199dd5e1d,white,female,176,2,1032 W ARGYLE ST CHICAGO IL 60640-3715
0141a2e0840a,white,female,175,3,3536 W LAWRENCE AVE CHICAGO IL 60625
014727bafe06,white,male,176,2,520 N HALSTED CHICAGO 60642
015563be3006,black,female,173,5,1648 W 115TH ST CHICAGO IL 60643
015a691280b3,hispanic,male,176,2,3455-3457 N SOUTHPORT AVE CHICAGO IL 60657
015ccbec32bd,white,female,173,5,6255 N MCCORMICK RD CHICAGO IL 60659
016a3633b5c6,white,male,177,1,4242 S ARCHER AVE CHICAGO IL 60632
016fc92747f2,white,female,177,1,812-816 W RANDOLPH ST CHICAGO IL 60607
0180f7abdc10,white,male,174,4,4040 W MONTROSE AVE CHICAGO IL 60641
0184675d53f3,white,female,176,2,200 W ADAMS ST CHICAGO IL 60606
018b1a6f9e7a,white,female,176,2,3356-3358 N PAULINA CHICAGO IL 60657
018b1c52a4a2,hispanic,female,175,3,3949 N BROADWAY CHICAGO IL 60613
0193d81d81d6,white,male,177,1,1339-1341 N DAMEN AVE CHICAGO IL 60622
01944f3afcfb,white,female,176,2,5509 N HARLEM AVE IL 60656
01979214466f,white,female,176,2,5421 N LINCOLN AVE CHICAGO IL 60625
01a045fa4b9f,black,male,176,2,2459 W MADISON ST CHICAGO IL 60612
01aa9b864640,black,male,177,1,4810 N BROADWAY CHICAGO IL 60640
01ac5e3da045,asian,male,177,1,31 E ROOSEVELT RD CHICAGO IL 60605
01acf5662206,white,male,176,2,1840 W 35TH ST CHICAGO IL 60609
01b9c4722208,white,male,172,6,4742-4744 N RACINE AVE CHICAGO IL 60640
01c0fe76d225,hispanic,female,176,2,1944 N OAKLEY AVE CHICAGO IL 60647
01ca67a6ef71,asian,male,175,3,10536 S TORRENCE AVE CHICAGO IL 60617
01ee2623b302,hispanic,female,176,2,1410 S MUSEUM CAMPUS DR CHICAGO IL 60605
01f867b3cc55,white,male,176,2,CHICAGO IL 60640
01f9b06dfa4f,hispanic,female,172,6,923 W WEED ST CHICAGO IL 60642
01fc40dbe1ed,white,female,177,1,3412 W 79TH ST CHICAGO IL 60652-1428
01ffc534a154,hispanic,female,176,2,2413 W 79TH ST CHICAGO IL 60652
020126cde5d7,hispanic,male,176,2,3100 S LAKESHORE DR IL 60616
02067a618db8,white,male,177,1,9308 S ASHLAND AVE CHICAGO IL 60620
021609fa6567,white,male,176,2,1147 S WABASH AVE CHICAGO IL 60605
02184fb42d38,white,male,177,1,1943-1945 W NORTH AVE CHICAGO IL 60622
0218c4f6d87a,white,female,177,1,151 N MICHIGAN AVE CHICAGO IL 60601
021c91943fdd,white,female,176,2,4631 N WESTERN AVE CHICAGO IL 60625
02316f006c11,white,female,176,2,2408 N LINCOLN AVE CHICAGO IL 60614
0237fceb668b,asian,male,177,1,2 S PULASKI RD CHICAGO IL 60624
0240ebeb587e,white,female,177,1,4702 N KIMBALL AVE CHICAGO IL 60625
0246b7292164,white,male,176,2,4346 N KIMBALL AVE CHICAGO IL 60618
0250fddfe951,white,female,176,2,4342 N CENTRAL AVE CHICAGO IL 60634
025bfb6fa9ee,white,female,178,0,1648 W 18TH ST CHICAGO IL
025e5f230b74,black,male,175,3,3944 W ROOSEVELT RD CHICAGO IL 60624
0260856bcf65,white,male,177,1,1740 W DIVISION ST CHICAGO IL 60622
0261fe56cf1b,white,female,175,3,1713 W CULLOM AVE CHICAGO IL 60613
02648b565c17,black,female,176,2,959 W DIVERSEY PKWY CHICAGO IL 60614
026509d514af,white,male,176,2,3336 N CLARK ST CHICAGO IL 60657
02697c5dd529,white,female,177,1,2230 S FEDERAL ST CHICAGO IL 60616
